,ColorName,RGBhex,RGB_R,RGB_G,RGB_B,CIELab_L,CIELab_a,CIELab_b,CIEXYZ_X,CIEXYZ_Y,CIEXYZ_Z,CIExyY_x,CIExyY_y,CIExyY_Y,munsell
177,BrightScarlet,#a30014,163,0,20,33.648,56.3,34.54,0.5406,0.428,0.2553,0.4417,0.3497,0.428,
178,Scarlet,#ac0013,172,0,19,35.6316,58.55,37.44,0.5622,0.4451,0.2579,0.4444,0.3518,0.4451,
179,DeepRoseRed,#a30018,163,0,24,33.6828,56.4,32.2,0.5411,0.4283,0.2673,0.4375,0.3463,0.4283,
180,Rosine,#ac0017,172,0,23,35.6664,58.6,35.22,0.5626,0.4454,0.2693,0.4405,0.3487,0.4454,
181,BrightRoseRed,#ce0034,206,0,52,43.3224,67.65,26.68,0.6467,0.5114,0.378,0.421,0.3329,0.5114,
182,RoseRed,#d7003c,215,0,60,45.3292,70.05,24.12,0.6688,0.5287,0.4081,0.4165,0.3293,0.5287,
183,CarmineRed,#a10027,161,0,39,33.4044,56.35,21.88,0.5386,0.4259,0.3165,0.4205,0.3325,0.4259,
184,DeepCarmineRed,#95002b,149,0,43,30.7944,53.6,15.34,0.5106,0.4034,0.3267,0.4115,0.3251,0.4034,
185,RosePink,#f48789,244,135,137,68.2972,39.65,5.16,0.806,0.7267,0.7009,0.3609,0.3253,0.7267,
186,BrownRose,#d45e62,212,94,98,54.9572,45.15,11.06,0.702,0.6117,0.5564,0.3754,0.3271,0.6117,
187,DullRose,#e74064,231,64,100,53.5768,63.75,8.54,0.7273,0.5998,0.5571,0.386,0.3183,0.5998,
188,Rose,#e6416a,230,65,106,53.6464,63.55,4.66,0.7275,0.6004,0.5771,0.3819,0.3152,0.6004,
189,CarmineRose,#e8486d,232,72,109,54.9688,61.85,4.54,0.7355,0.6118,0.5891,0.3798,0.3159,0.6118,
190,BrightRose,#d90566,217,5,102,46.7444,72.35,-2.5,0.6856,0.5409,0.5534,0.3852,0.3039,0.5409,
191,RoseCarmine,#ca0040,202,0,64,42.6612,67.2,17.6,0.6401,0.5057,0.4177,0.4094,0.3234,0.5057,
192,Carmine,#a00027,160,0,39,33.184,56.1,21.56,0.5362,0.424,0.3162,0.4201,0.3322,0.424,
193,BrightCarmine,#9c0022,156,0,34,32.2212,54.95,23.74,0.5256,0.4157,0.297,0.4245,0.3357,0.4157,
194,BrightCrimson,#81001e,129,0,30,26.05,47.95,18.12,0.4584,0.3625,0.2719,0.4195,0.3317,0.3625,
195,DeepCarmine,#86001f,134,0,31,27.21,49.3,19.0,0.4711,0.3725,0.2775,0.4202,0.3323,0.3725,
196,CarmineLake,#81001e,129,0,30,26.05,47.95,18.12,0.4584,0.3625,0.2719,0.4195,0.3317,0.3625,
197,BrownLake,#8d1b2e,141,27,46,30.9916,46.2,13.02,0.4975,0.4051,0.34,0.4004,0.326,0.4051,
198,Lake,#7e0c2c,126,12,44,26.398,45.65,8.04,0.4568,0.3655,0.3253,0.398,0.3185,0.3655,
199,Crimson,#751933,117,25,51,25.9108,39.95,1.8,0.4412,0.3613,0.3523,0.3821,0.3129,0.3613,
