SAMPLE_ID,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B,LAB_C,LAB_H,D_RED,D_GREEN,D_BLUE,D_VIS,STDEV_X,STDEV_Y,STDEV_Z,MEAN_DE,STDEV_DE,R,G,B,dR,dG,dB
H19,15.46,12.98,37.87,42.73,18.49,-53.01,56.14,289.23,0.95,0.88,0.36,0.92,0.12,0.12,0.13,0.28,0.35,33.307,36.9818,78.0308,0.621026,0.512281,0.516215
H20,43.15,43.94,16.97,72.19,2.31,33.99,34.07,86.12,0.28,0.39,0.66,0.34,0.18,0.17,0.19,0.4,0.46,80.8351,64.7971,41.5858,0.640786,0.488082,0.74283
H21,33.26,34.36,22.38,65.25,0.43,10.62,10.63,87.66,0.42,0.47,0.56,0.46,0.18,0.17,0.2,0.43,0.51,66.8323,57.6119,50.6378,0.682773,0.4535,0.604498
H22,37.09,40.41,12.74,69.76,-6.01,40.56,41,98.43,0.37,0.4,0.78,0.38,0.13,0.13,0.15,0.33,0.41,71.1683,64.2833,34.1233,0.784777,0.483448,0.657612
I1,4.88,4.99,6.67,26.71,0.84,-12.81,12.84,273.75,1.32,1.28,1.08,1.32,0.03,0.03,0.14,0.44,0.52,23.0244,22.0926,32.2008,0.458582,0.455393,0.543887
I2,5,4.99,9.87,26.71,2.36,-24.89,25,275.41,1.39,1.26,0.92,1.34,0.05,0.05,0.09,0.36,0.42,20.2619,22.2396,38.2487,0.708261,0.635155,0.622193
I3,5.04,5.02,13.56,26.8,2.51,-35.76,35.85,274.01,1.53,1.23,0.79,1.36,0.05,0.05,0.09,0.29,0.32,16.4452,23.003,45.1425,0.634836,0.533268,0.560682
I4,4.85,4.78,19.93,26.08,3.16,-52,52.09,273.47,2.05,1.18,0.64,1.44,0.02,0.02,0.08,0.26,0.32,9.77508,24.0762,55.6161,0.920944,0.663082,0.517155
I5,15.42,15.92,17.12,46.87,0.41,-10,10.01,272.35,0.8,0.79,0.68,0.81,0.08,0.11,0.12,0.35,0.42,39.2366,37.5593,48.2651,0.560763,0.444451,0.599959
I6,15.51,15.87,21.82,46.8,1.2,-20.09,20.12,273.43,0.83,0.78,0.58,0.82,0.06,0.07,0.21,0.46,0.53,37.0239,38.4069,56.144,0.507269,0.436717,0.671798
I7,15.63,15.89,26.66,46.82,1.83,-28.92,28.98,273.62,0.88,0.77,0.5,0.83,0.07,0.06,0.14,0.23,0.27,34.6935,39.243,63.6025,0.525567,0.401491,0.667897
I8,15.41,15.59,40.7,46.44,2.2,-50.37,50.42,272.5,1.07,0.73,0.33,0.87,0.06,0.07,0.08,0.17,0.21,25.6389,42.1538,81.9154,0.829684,0.64578,0.574049
I9,42.41,43.77,41.31,72.08,0.6,-6.94,6.97,274.96,0.36,0.35,0.3,0.36,0.21,0.21,0.15,0.27,0.3,70.2509,67.4559,76.6906,0.591989,0.451314,0.68879
I10,42.72,44.07,45.9,72.28,0.67,-12.28,12.3,273.11,0.37,0.35,0.26,0.36,0.19,0.18,0.16,0.23,0.27,69.1518,68.6628,82.4588,0.565407,0.484212,0.59506
I11,42.51,43.75,49.45,72.06,0.95,-16.78,16.81,273.26,0.38,0.35,0.23,0.37,0.24,0.19,0.24,0.33,0.37,67.3931,69.0355,87.2683,0.541228,0.507517,0.671581
I12,41.83,42.86,57.06,71.46,1.51,-26.06,26.11,273.32,0.41,0.35,0.17,0.38,0.12,0.09,0.18,0.23,0.27,63.4475,69.1059,96.1671,0.706104,0.582591,0.839003
