,R,G,B,LAB_L,LAB_A,LAB_B,LAB_L_m,LAB_A_m,LAB_B_m,LAB_L_c,LAB_A_c,LAB_B_c,LAB_dE
128,125.594112,131.565056,222.864128,57.6,10.1,-39.58,58.1472,19.35,-64.3,57.3914845846,10.2861383317,-44.1981218462,4.62657276426
129,170.499072,122.391296,104.261376,58.58,8.73,19.44,55.7112,14.8,7.04,57.3206782589,10.0236915163,17.6863434231,2.51691087978
130,206.75456,131.454464,94.401536,63.9,15.14,31.51,61.9984,23.45,22.04,63.1586256876,17.5415970337,32.3851629005,2.6614308719
131,215.13472,146.455808,113.310976,68.31,12.53,25.74,66.8008,20.35,16.92,67.3430156667,14.7810957014,27.0959257622,2.80018307081
132,44.9472,51.331328,61.29792,21.74,-9.76,-2.88,21.1896,-0.8,-14.06,21.8013132526,-5.61694963327,-0.791142738778,4.64025325968
133,35.156992,52.056064,61.410048,21.65,-19.21,-5.0,20.6908,-4.75,-14.96,21.6972753708,-10.063420304,-1.0997166744,9.94355897633
134,28.430592,55.456256,64.713728,22.99,-27.54,-7.22,21.6072,-7.95,-16.1,23.4281742983,-13.5820284476,-1.68114422744,15.0231784201
135,28.100864,52.302592,61.28512,21.24,-25.71,-5.89,20.3312,-7.15,-15.46,21.5557723565,-12.6908495841,-1.23499459998,13.8299336588
136,71.353088,87.938304,95.396864,41.73,-12.46,-3.57,36.2812,-5.5,-15.78,39.9324269219,-10.3476190765,-1.48484717125,3.47005539669
137,53.98528,93.659904,98.40512,41.85,-23.97,-5.27,37.1512,-13.6,-16.68,41.6971834781,-19.0654650391,-1.58678097766,6.1354639954
138,38.143232,99.470848,103.273984,41.69,-36.32,-7.82,38.578,-19.25,-17.94,43.6965204768,-25.8084938588,-2.19035049849,12.091767418
139,26.256896,103.333376,107.562496,41.02,-49.11,-10.36,39.6916,-21.95,-19.22,45.0401973767,-29.346812387,-3.03150034208,21.4581564635
140,167.20512,176.482048,180.38912,72.11,-5.91,-2.34,71.4176,-4.25,-18.0,70.7700935494,-8.10641569616,-2.50691984159,2.57826558761
141,151.67232,182.775296,183.843072,71.98,-12.95,-3.67,72.1484,-12.05,-19.16,71.4870833497,-15.7843680412,-3.56273478895,2.87890862003
142,138.562816,188.3072,187.733504,71.96,-18.73,-5.08,73.0068,-18.1,-20.36,72.2380882801,-22.3975650125,-4.59228650164,3.71028714107
143,98.344704,196.046848,194.582784,70.86,-36.04,-9.76,73.5752,-30.7,-23.84,72.8808906927,-39.0682598456,-7.3442612979,4.36922766185
144,103.495168,205.18528,244.539648,73.44,-30.12,-25.0,78.0064,-20.45,-46.78,75.5460414586,-29.6760224765,-23.3771728134,2.6955694657
145,233.261568,125.29152,227.871488,63.56,45.59,-29.4,67.7984,53.6,-51.54,64.3768625598,53.4819306297,-31.0169115998,8.09717460765
146,256.0,217.256704,97.312256,85.29,0.47,54.69,88.0056,-1.8,51.22,84.7158193877,3.38316603925,59.6567343452,5.78659397261
